angleToItem,distanceToItem,current_direction,current_direction_top_blocked,current_direction_right_blocked,current_direction_bottom_blocked,current_direction_left_blocked,direction
74.74,11.4,1.0,-1.0,-1.0,-1.0,1.0,1.0
79.7,11.18,1.0,-1.0,-1.0,-1.0,1.0,2.0
84.81,11.05,2.0,-1.0,-1.0,-1.0,1.0,2.0
84.29,10.05,2.0,1.0,-1.0,-1.0,-1.0,2.0
83.66,9.06,2.0,1.0,-1.0,-1.0,-1.0,2.0
82.87,8.06,2.0,1.0,-1.0,-1.0,-1.0,2.0
81.87,7.07,2.0,1.0,-1.0,-1.0,-1.0,2.0
80.54,6.08,2.0,1.0,-1.0,-1.0,-1.0,1.0
78.69,5.1,1.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,5.0,2.0,-1.0,-1.0,-1.0,1.0,2.0
90.0,4.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,3.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,2.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,3.0
0.0,0.0,3.0,1.0,-1.0,-1.0,-1.0,3.0
-119.74,16.12,3.0,-1.0,1.0,-1.0,-1.0,3.0
-116.57,15.65,3.0,-1.0,1.0,-1.0,-1.0,3.0
-113.2,15.23,3.0,-1.0,1.0,-1.0,-1.0,3.0
-109.65,14.87,3.0,-1.0,1.0,-1.0,-1.0,3.0
-105.95,14.56,3.0,-1.0,1.0,-1.0,-1.0,3.0
-102.09,14.32,3.0,-1.0,1.0,-1.0,-1.0,3.0
-98.13,14.14,3.0,-1.0,1.0,-1.0,-1.0,3.0
-94.09,14.04,3.0,-1.0,1.0,-1.0,-1.0,0.0
-90.0,14.0,0.0,-1.0,1.0,-1.0,-1.0,0.0
-90.0,13.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,12.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,11.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,10.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,9.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,8.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,7.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,6.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,5.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,4.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,3.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,2.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
93.58,16.03,1.0,-1.0,-1.0,1.0,-1.0,1.0
97.13,16.12,1.0,-1.0,-1.0,-1.0,1.0,1.0
100.62,16.28,1.0,-1.0,-1.0,-1.0,1.0,1.0
104.04,16.49,1.0,-1.0,-1.0,-1.0,1.0,2.0
107.35,16.76,2.0,-1.0,-1.0,-1.0,1.0,3.0
108.43,15.81,3.0,1.0,-1.0,-1.0,-1.0,3.0
104.93,15.52,3.0,1.0,1.0,-1.0,-1.0,3.0
0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0
-90.0,7.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,6.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,5.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,4.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,3.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,2.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
33.69,14.42,1.0,-1.0,-1.0,-1.0,1.0,1.0
36.03,13.6,1.0,-1.0,-1.0,-1.0,1.0,1.0
38.66,12.81,1.0,-1.0,-1.0,-1.0,1.0,1.0
41.63,12.04,1.0,-1.0,-1.0,-1.0,1.0,1.0
45.0,11.31,1.0,-1.0,-1.0,-1.0,1.0,1.0
48.81,10.63,1.0,-1.0,-1.0,-1.0,1.0,1.0
53.13,10.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
57.99,9.43,1.0,-1.0,-1.0,-1.0,1.0,1.0
63.43,8.94,1.0,-1.0,-1.0,-1.0,1.0,1.0
69.44,8.54,1.0,-1.0,-1.0,-1.0,1.0,1.0
75.96,8.25,1.0,-1.0,-1.0,-1.0,1.0,1.0
82.87,8.06,1.0,-1.0,-1.0,-1.0,1.0,2.0
90.0,8.0,2.0,-1.0,-1.0,-1.0,1.0,2.0
90.0,7.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,6.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,5.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,4.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,3.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,2.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
0.0,0.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
-141.34,6.4,2.0,1.0,-1.0,-1.0,-1.0,2.0
-135.0,7.07,2.0,1.0,-1.0,-1.0,-1.0,2.0
-129.81,7.81,2.0,1.0,-1.0,-1.0,-1.0,3.0
-125.54,8.6,3.0,1.0,-1.0,-1.0,-1.0,3.0
-119.74,8.06,3.0,-1.0,1.0,-1.0,-1.0,3.0
-113.2,7.62,3.0,-1.0,1.0,-1.0,-1.0,3.0
-105.95,7.28,3.0,-1.0,1.0,-1.0,-1.0,3.0
-98.13,7.07,3.0,-1.0,1.0,-1.0,-1.0,0.0
-90.0,7.0,0.0,-1.0,1.0,-1.0,-1.0,0.0
-90.0,6.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,5.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,4.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,3.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,2.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
79.7,11.18,0.0,-1.0,-1.0,1.0,-1.0,0.0
80.54,12.17,0.0,-1.0,-1.0,1.0,-1.0,0.0
81.25,13.15,0.0,-1.0,-1.0,1.0,-1.0,1.0
81.87,14.14,1.0,-1.0,-1.0,1.0,-1.0,1.0
85.91,14.04,1.0,-1.0,-1.0,-1.0,1.0,2.0
90.0,14.0,2.0,-1.0,-1.0,-1.0,1.0,2.0
90.0,13.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,12.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,11.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,10.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,9.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,8.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,7.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,6.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,5.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,4.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,3.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,2.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,3.0
0.0,0.0,3.0,1.0,-1.0,-1.0,-1.0,3.0
-135.0,14.14,3.0,-1.0,1.0,-1.0,-1.0,3.0
-131.99,13.45,3.0,-1.0,1.0,-1.0,-1.0,3.0
-128.66,12.81,3.0,-1.0,1.0,-1.0,-1.0,3.0
-124.99,12.21,3.0,-1.0,1.0,-1.0,-1.0,3.0
-120.96,11.66,3.0,-1.0,1.0,-1.0,-1.0,3.0
-116.57,11.18,3.0,-1.0,1.0,-1.0,-1.0,3.0
-111.8,10.77,3.0,-1.0,1.0,-1.0,-1.0,3.0
-106.7,10.44,3.0,-1.0,1.0,-1.0,-1.0,3.0
-101.31,10.2,3.0,-1.0,1.0,-1.0,-1.0,3.0
-95.71,10.05,3.0,-1.0,1.0,-1.0,-1.0,0.0
-90.0,10.0,0.0,-1.0,1.0,-1.0,-1.0,0.0
-90.0,9.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
